COMPONENT	COMPONENTDESC	COMPTYPE	BFUNCTION	BFUNCDESC	BFUNCCATEG	BFCONFLICT	CURR_STAT	FUT_STAT	CATEGORY
Component	Component Description	Component Type	Business Function(BF)	BF Description	BF Category	BF Conflict	Cur State	Fut State	Category
DMIS	DMIS 2011_1	Industry Solutions	LT_PC_REORG_ANALYSIS	LT Profit Center Reorg. Analysis	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/BEV1/ARC	"BEV Archiving (PL,Emps,Rets,ED)"	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/BEV1/NE_ENH	Functional Improvements BEV	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/CUM/MAIN_1	Compatible Units Archiving	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/DSD/ARC	Archiving for Direct Store Deliv	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/DSD/DEX	DEX Enablement for DSD	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/DSD/OCS	Occasionally-Connected Scenarios	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	/SAPNEA/J_SCC_BF	Business funciton for SCC JP	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA-PLM	PLM Extension	Enterprise Addons	Pass - No Impact	ON	ALWAYS ON	SUPPORTED
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_01	Incentive&Commission Management	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_02	Incentive&Commission Management	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_03	Incentive&Commission Management	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_04	Incentive and Commission Mgmt	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_04_02	Incentive and Commission Mgmt	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_ICM_CORE_CC_01	Incentive&Commission Management	Enterprise BF / Enhancement Packages	Not part of BF list	OFF	NOT-AVAILABLE	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	EA_ICM_PFO_CORE_04	Portfolio Assignment 2	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	ERP_AIE_INTEGRATION	AIE ERP Integration	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_ACC_LOCAL_CLOSE	Local Close	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_ACC_LOCAL_CLOSE_2	Local Close 2	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_ACC_LOCAL_CLOSE_3	Local Close 3	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_BL_EB_1	"FI-BL, Elec. Bank Statement"	Enterprise BF / Enhancement Packages	Warning	OFF	ALWAYS ON	NEW
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_CO_CCMGMT	"CO, Cost Center Management"	Enterprise BF / Enhancement Packages	Warning	OFF	ALWAYS ON	NEW
EA-APPL	"SAP Enterprise Extension PLM, SCM, Financials"	Others	FIN_CO_MSSBUA_NWBC	Roles for MSS/BUA	Enterprise BF / Enhancement Packages	Pass - No Impact	OFF	Customer Switchable	OTHERS
