PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY	CHECK_DEFECT
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF01				ZBBP	SRM 4.00	SAPLZBBP_PLM		13	Function module GUID_CREATE is flagged as Obsolete	E	1					O		1	GUID_CREATE
R3TR	PROG	Programs	INCL	Includes	ZVR_IDOC_STAT1000_PAI	Include ZVR_IDOC_STAT1000_PAI			ZABP	SRM 4.00			139	Function module POPUP_TO_CONFIRM_STEP is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_STEP
R3TR	PROG	Programs	INCL	Includes	LZBBP_PLMF05				ZBBP	SRM 4.00	SAPLZBBP_PLM		173	Function module GUID_CREATE is flagged as Obsolete	E	1					O		1	GUID_CREATE
R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface			Z001	SRM 4.00			36	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_WITH_VALUE
R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface			Z001	SRM 4.00			425	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_WITH_VALUE
R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface			Z001	SRM 4.00			492	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_WITH_VALUE
R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface			Z001	SRM 4.00			520	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_WITH_VALUE
R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface			Z001	SRM 4.00			798	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_WITH_VALUE
R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface			Z001	SRM 4.00			1053	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_WITH_VALUE
R3TR	PROG	Programs	MODP	Module Pool	ZCIMPRBG	ABAP Data Cluster User Interface			Z001	SRM 4.00			1267	Function module POPUP_TO_CONFIRM_WITH_VALUE is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_WITH_VALUE
R3TR	PROG	Programs	PROG	Program	Z_DELETE_BDOCS	Report Z_DELETE_BDOCS			ZBC	SRM 4.00			274	Function module POPUP_TO_CONFIRM_STEP is flagged as Obsolete	E	1					O		1	POPUP_TO_CONFIRM_STEP
R3TR	PROG	Programs	PROG	Program	ZEBP_ORG_USER_ATTRIBUTES	EBP User Attribute Report			ZABP	SRM 4.00			1193	Function module BBP_USER_ORGASSIGNMENT_GET is flagged as Obsolete	E	1					O		1	BBP_USER_ORGASSIGNMENT_GET
R3TR	PROG	Programs	PROG	Program	ZEBP_ORG_USER_ATTRIBUTES	EBP User Attribute Report			ZABP	SRM 4.00			1484	Function module BBP_USER_GET_DETAIL is flagged as Obsolete	E	1					O		1	BBP_USER_GET_DETAIL
